Entry ID,Crystallization Method,Temp (K),pH,Crystal Growth Procedure,Matthews Coefficient,Percent Solvent Content,Condition 1,Condition 2,Condition 3,Condition 4,Condition 5,Condition 6,Condition 7,Condition 8,Condition 9,Condition 10,Condition 11,Condition 12,Condition 13,Condition 14,Condition 15,Condition 16,Condition 17,Condition 18,Condition 19,Condition 20
8GBE,"VAPOR DIFFUSION, HANGING DROP",291,6.4,100 mM ADA and 40% PEG-200,2.4,48.74,100 mM ADA and 40,,,,,,,,,,,,,,,,,,,
7UOX,"VAPOR DIFFUSION, SITTING DROP",291,,"0.2 M ammonium acetate
0.1 M sodium acetate pH 4.6
20.0 w/v polyethylene glycol 4000",1.97,37.6,0.2 M ammonium acetate,0.1 M sodium acetate pH 4,,,,,,,,,,,,,,,,,,
7UOY,"VAPOR DIFFUSION, SITTING DROP",291,4.6,"0.2 M ammonium acetate
0.1 M sodium acetate pH 4.6
20.0 w/v polyethylene glycol 4000",1.87,34.15,0.2 M ammonium acetate,0.1 M sodium acetate pH 4,,,,,,,,,,,,,,,,,,
7UP2,"VAPOR DIFFUSION, SITTING DROP",291,8.5,".2 M magnesium chloride
0.1 M tris hydrochloride pH 8.5
25.0 w/v polyethylene glycol 3350",2.06,40.27,.2 M magnesium chloride,0.1 M tris hydrochloride pH 8,,,,,,,,,,,,,,,,,,
7UP3,"VAPOR DIFFUSION, SITTING DROP",291,7,"0.2 M ammonium acetate
1.0 mM TCEP
3.0 mM cadmium sulfate
0.1 M HEPES pH 7.0
25.0 w/v polyethylene glycol 4000",1.89,34.92,0.2 M ammonium acetate,1.0 mM TCEP,3.0 mM cadmium sulfate,0.1 M HEPES pH 7,,,,,,,,,,,,,,,,
7VUB,MICROBATCH,295,,"1.0 M Ammonium citrate dibasic, 0.1 M Sodium acetate trihydrate pH 4.6",2.21,44.46,1.0 M Ammonium citrate dibasic,0.1 M Sodium acetate trihydrate pH 4,,,,,,,,,,,,,,,,,,
7X41,"VAPOR DIFFUSION, SITTING DROP",293,,1 M monosodium phosphate and 0.75 M sodium citrate,1.55,20.88,1 M monosodium phosphate and 0,.75 M sodium citrate,,,,,,,,,,,,,,,,,,
7X43,"VAPOR DIFFUSION, SITTING DROP",293,,1 M monosodium phosphate and 0.75 M sodium citrate,1.58,22.12,1 M monosodium phosphate and 0,.75 M sodium citrate,,,,,,,,,,,,,,,,,,
7X44,"VAPOR DIFFUSION, SITTING DROP",293,,1 M monosodium phosphate and 0.75 M sodium citrate,1.58,22.06,1 M monosodium phosphate and 0,.75 M sodium citrate,,,,,,,,,,,,,,,,,,
7X48,"VAPOR DIFFUSION, SITTING DROP",293,8,"0.1M Tris-HCl (pH8.0), 45% PEG 400",2.17,43.31,0.1M Tris-HCl,45% PEG 400,,,,,,,,,,,,,,,,,,
7X4J,"VAPOR DIFFUSION, SITTING DROP",277,8,"0.1M Tris-HCl (pH8.0), 45% PEG 400",2.16,43.19,0.1M Tris-HCl,45% PEG 400,,,,,,,,,,,,,,,,,,
7X4V,"VAPOR DIFFUSION, SITTING DROP",293,,"0.2 M  NH4OAc, 0.05 M Sodium cacodylate pH 6.5, 30% PEG 8,000",2.79,55.86,0.2 M  NH4OAc,0.05 M Sodium cacodylate pH 6,30% PEG 8,,,,,,,,,,,,,,,,,
7X4Z,"VAPOR DIFFUSION, SITTING DROP",293,8.5,"0.1 M Tris pH 8.5, 2M (NH4)2SO4",2.09,41.27,0.1 M Tris pH 8,,,,,,,,,,,,,,,,,,,
7X50,"VAPOR DIFFUSION, SITTING DROP",277,8,"0.1M Tris-HCl (pH8.0), 55% PEG 400",2.16,43.18,0.1M Tris-HCl,55% PEG 400,,,,,,,,,,,,,,,,,,
7Z0V,"VAPOR DIFFUSION, HANGING DROP",295,6.5,"30% PEG400, 100mM magnesium chloride, 100mM MES (2[N-Morpholino]ethanesulfonic acid), 10-40mg/ml protein, pH 6.5, vapor diffusion, hanging drop, temperature 295K",2.32,47.04,30% PEG400,100mM magnesium chloride,100mM MES,,,,,,,,,,,,,,,,,
7ZO2,"VAPOR DIFFUSION, SITTING DROP",277,,"100 mM Hepes pH 7.75, 2.0 M ammonium sulphate, 1.5% PEG400. 1 ul protein (15 mg/ml) mixed with 1 ul reservoir.",2.73,54.88,100 mM Hepes pH 7,2.0 M ammonium sulphate,1.5% PEG400,,,,,,,,,,,,,,,,,
7ZO3,"VAPOR DIFFUSION, SITTING DROP",277,,"100 mM Hepes pH 7.75, 2.0 M ammonium sulphate, 1.5% PEG400. 1 ul protein (15 mg/ml) mixed with 1 ul reservoir.",2.72,54.77,100 mM Hepes pH 7,2.0 M ammonium sulphate,1.5% PEG400,,,,,,,,,,,,,,,,,
7ZO4,"VAPOR DIFFUSION, SITTING DROP",277,,"100 mM Hepes pH 7.75, 2.0 M ammonium sulphate, 1.5% PEG400. 1 ul protein (15 mg/ml) mixed with 1 ul reservoir.",2.71,54.68,100 mM Hepes pH 7,2.0 M ammonium sulphate,1.5% PEG400,,,,,,,,,,,,,,,,,
7ZO5,"VAPOR DIFFUSION, SITTING DROP",277,,"100 mM Hepes pH 7.75, 2.0 M ammonium sulphate, 1.5% PEG400. 1 ul protein (15 mg/ml) mixed with 1 ul reservoir.",2.74,55.15,100 mM Hepes pH 7,2.0 M ammonium sulphate,1.5% PEG400,,,,,,,,,,,,,,,,,
7ZQM,BATCH MODE,298,6.9,"10 mg in 20-30% MPD solution, cacodylatee buffer + 0.01M MGCl2",1.7,27.64,30% MPD solution,0.01M MGCl2,,,,,,,,,,,,,,,,,,
7ZQN,BATCH MODE,298,6.9,10 mg in 20 % MPD solution (cacodylate buffer + 0.01 M MgCl2),1.67,26.28,20 % MPD solution,0.01 M MgCl2,,,,,,,,,,,,,,,,,,
8AH4,"VAPOR DIFFUSION, SITTING DROP",298,4,"30% PEG4K, 0.2M AMSO4, 0.1M AcONa",1.88,34.52,30% PEG4K,0.2M AMSO4,0.1M AcONa,,,,,,,,,,,,,,,,,
8AH5,"VAPOR DIFFUSION, SITTING DROP",298,4.6,"30% PEG4K, 0.2M AMSO4, 0.1M AcONa",1.85,33.42,30% PEG4K,0.2M AMSO4,0.1M AcONa,,,,,,,,,,,,,,,,,
8AH7,"VAPOR DIFFUSION, SITTING DROP",298,4,"30% PEG 4000, 0.2M Ammonium Sulfate, 0.1M sodium acetate",1.96,37.4,30% PEG 4000,0.2M Ammonium Sulfate,0.1M sodium acetate,,,,,,,,,,,,,,,,,
8AIR,"VAPOR DIFFUSION, SITTING DROP",293,,"0.1 M HEPES pH 7.5,
1 M sodium acetate",2.09,41.09,0.1 M HEPES pH 7,1 M sodium acetate,,,,,,,,,,,,,,,,,,
8AIT,"VAPOR DIFFUSION, SITTING DROP",293,,"0.1 M Sodium acetate 4.5,
50 % w/v PEG 400,
0.2 M Lithium sulfate",1.85,33.66,0.1 M Sodium acetate 4,50 % w/v PEG 400,0.2 M Lithium sulfate,,,,,,,,,,,,,,,,,
8AKI,"VAPOR DIFFUSION, SITTING DROP",293.15,,"2.0 M Ammonium Sulphate, 5% v/v ethanol",2.38,48.29,2.0 M Ammonium Sulphate,5% v/v ethanol,,,,,,,,,,,,,,,,,,
8AKJ,"VAPOR DIFFUSION, SITTING DROP",293.15,,"2.0 M Ammonium Sulphate, 5% v/v ethanol",2.37,43.75,2.0 M Ammonium Sulphate,5% v/v ethanol,,,,,,,,,,,,,,,,,,
8AKK,"VAPOR DIFFUSION, SITTING DROP",293.15,,"2.0 M Ammonium Sulphate, 5% v/v ethanol",2.37,48.04,2.0 M Ammonium Sulphate,5% v/v ethanol,,,,,,,,,,,,,,,,,,
8AKL,"VAPOR DIFFUSION, SITTING DROP",293.15,,"2.0 M Ammonium Sulphate, 5% v/v ethanol",2.19,43.83,2.0 M Ammonium Sulphate,5% v/v ethanol,,,,,,,,,,,,,,,,,,
8AKM,"VAPOR DIFFUSION, SITTING DROP",293.15,,"2.0 M Ammonium Sulphate, 5% v/v ethanol",2.13,42.38,2.0 M Ammonium Sulphate,5% v/v ethanol,,,,,,,,,,,,,,,,,,
8AWN,"VAPOR DIFFUSION, SITTING DROP",289,4,"1 M LiCl
0.1 M citrate pH 4.0
20 % PEG6000

16 mg/ml protein concentration",3.11,60.44,1 M LiCl,0.1 M citrate pH 4,20 % PEG6000,,,,,,,,,,,,,,,,,
8BBS,"VAPOR DIFFUSION, SITTING DROP",295,8.5,"12.5% w/v PEG 1000, 12.5% w/v PEG 3350, 12.5% v/v MPD and 0.02 M each of DL-glutamic acid monohydrate, DL-alanine, glycine, DL-lysine monohydrochloride, and DL-serine; in 0.1 M bicine/Trizma base, pH 8.5",2.02,39.23,12.5% w/v PEG 1000,12.5% w/v PEG 3350,12.5% v/v MPD and 0,.02 M each of DL-glutamic acid monohydrate,0.1 M bicine/Trizma base,,,,,,,,,,,,,,,
8BF1,"VAPOR DIFFUSION, HANGING DROP",292.15,,"0.1 M Bis-Tris pH 6.5
0.2 M ammonium acetate
0.01 M gunidine hydrochloride",2.23,44.82,0.1 M Bis-Tris pH 6,0.2 M ammonium acetate,0.01 M gunidine hydrochloride,,,,,,,,,,,,,,,,,
8BOG,"VAPOR DIFFUSION, SITTING DROP",291,6.5,"37,5 % Precipitant Mix 4 (25% (v/v) Hexylene glycol, 25% (w/v) Poly(ethylene glycol) 1000, 25% (w/v) Poly(ethylene glycol) 3350), 
0.1M Bis-Tris pH 6.5, 
0.1 M Amino acids mix (0.2 M DL-Alanine,
0.2M DL-Glutamic acid monohydrate, 0.2M
DL-Lysine monohydrochloride, 0.2M
DL-Serine, 0.2M Glycine)",1.92,35.83,5 % Precipitant Mix 4,0.1M Bis-Tris pH 6,0.1 M Amino acids mix,0.2 M DL-Alanine,0.2M DL-Glutamic acid monohydrate,"0.2M
DL-Lysine monohydrochloride","0.2M
DL-Serine",0.2M Glycine,,,,,,,,,,,,
8BOH,"VAPOR DIFFUSION, SITTING DROP",291,6.5,"37,5 % Precipitant Mix 4 (25% (v/v) Hexylene glycol, 25% (w/v) Poly(ethylene glycol) 1000, 25% (w/v) Poly(ethylene glycol) 3350), 
0.1M Tris-HCl pH 6.5, 
0.1 M Amino acids mix (0.2 M DL-Alanine,
0.2M DL-Glutamic acid monohydrate, 0.2M
DL-Lysine monohydrochloride, 0.2M
DL-Serine, 0.2M Glycine)",1.94,36.48,5 % Precipitant Mix 4,0.1M Tris-HCl pH 6,0.1 M Amino acids mix,0.2 M DL-Alanine,0.2M DL-Glutamic acid monohydrate,"0.2M
DL-Lysine monohydrochloride","0.2M
DL-Serine",0.2M Glycine,,,,,,,,,,,,
8BOM,"VAPOR DIFFUSION, SITTING DROP",291,7.6,"37,5 % Precipitant Mix 4 (25% (v/v) Hexylene glycol, 25% (w/v) Poly(ethylene glycol) 1000, 25% (w/v) Poly(ethylene glycol) 3350), 0.1M Bicin pH 7.6, 0.1 M Amino acids mix (0.2 M DL-Alanine,
0.2M DL-Glutamic acid monohydrate, 0.2M
DL-Lysine monohydrochloride, 0.2M
DL-Serine, 0.2M Glycine)",1.93,36.4,5 % Precipitant Mix 4,0.1M Bicin pH 7,0.1 M Amino acids mix,0.2 M DL-Alanine,0.2M DL-Glutamic acid monohydrate,"0.2M
DL-Lysine monohydrochloride","0.2M
DL-Serine",0.2M Glycine,,,,,,,,,,,,
8BQP,"VAPOR DIFFUSION, SITTING DROP",293,,"130 mg/mL Lysozyme, 20 mM AE-CH3, 1.0 M lithium chloride, 0.1 M sodium acetate and 30% (w/v) PEG 6000",1,34.8,130 mg/mL Lysozyme,20 mM AE-CH3,1.0 M lithium chloride,0.1 M sodium acetate and 30,,,,,,,,,,,,,,,,
8BQT,"VAPOR DIFFUSION, SITTING DROP",293,4.6,"130 mg/mL Lysozyme, 20 mM AE-CH3, 0.1 M magnesium chloride, 0.1 M sodium acetate buffer (pH 4.6) and 25% (w/v) PEG 400.",1,33.62,130 mg/mL Lysozyme,20 mM AE-CH3,0.1 M magnesium chloride,0.1 M sodium acetate buffer,,,,,,,,,,,,,,,,
8C3N,"VAPOR DIFFUSION, SITTING DROP",293,,"Protein: 0.5 mM SP30:HumRadA22 in 20 mM CHES pH 9.5, 100 mM NaCl, 20 mM ADP/MgCl 2

Condition:
14% w/v PEG 4000
(precipitant), 6% v/v MPD
(precipitant), 0.1M Na K
Phos pH 6.2 (buffer)",2.32,46.89,0.5 mM SP30,20 mM CHES pH 9,100 mM NaCl,20 mM ADP/MgCl 2,14% w/v PEG 4000,6% v/v MPD,0.1M Na K,,,,,,,,,,,,,
8DBB,"VAPOR DIFFUSION, HANGING DROP",293,5.2,"0.1 M sodium citrate, pH 5.20, 0.2 M ammonium acetate, 24-30% PEG4000",2.15,42.89,0.1 M sodium citrate,0.2 M ammonium acetate,30% PEG4000,,,,,,,,,,,,,,,,,
8DSC,"VAPOR DIFFUSION, HANGING DROP",290,8.5,"0.1 M Tris-HCl, pH 8.5, 0.2 M NaCl, 20% glycerol and 13-18% PEG 3350",2.33,47.22,0.1 M Tris-HCl,0.2 M NaCl,20% glycerol and 13-18,,,,,,,,,,,,,,,,,
8DSD,"VAPOR DIFFUSION, HANGING DROP",290,8.5,"0.1 M Tris-HCl, pH 8.5, 0.2 M NaCl, 20% glycerol and 13-18% PEG 3350",2.34,47.51,0.1 M Tris-HCl,0.2 M NaCl,20% glycerol and 13-18,,,,,,,,,,,,,,,,,
8DSE,"VAPOR DIFFUSION, HANGING DROP",290,8.5,"0.1 M Tris-HCl, pH 8.5, 0.2 M NaCl, 20% glycerol and 13-18% PEG 3350",2.36,47.78,0.1 M Tris-HCl,0.2 M NaCl,20% glycerol and 13-18,,,,,,,,,,,,,,,,,
8DSI,"VAPOR DIFFUSION, HANGING DROP",290,8.5,"0.1 M Tris-HCl, pH 8.5, 0.2 M NaCl, 20% glycerol and 13-18% PEG 3350",2.36,47.86,0.1 M Tris-HCl,0.2 M NaCl,20% glycerol and 13-18,,,,,,,,,,,,,,,,,
8F3A,"VAPOR DIFFUSION, SITTING DROP",293,,"0.1 M imidazole (pH 8.0) and 35 % 2-methyl-2,4-pentanediol (MPD)",2.25,45.28,0.1 M imidazole,35 % 2-methyl-2,,,,,,,,,,,,,,,,,,
8FUX,"VAPOR DIFFUSION, HANGING DROP",293,5.5,"25 % (v/v) PEG 3350 and 0.1 M Bis-Tris, pH 5.5",2.07,40.6,0.1 M Bis-Tris,,,,,,,,,,,,,,,,,,,
7PHO,"VAPOR DIFFUSION, SITTING DROP",293,7.1,0.15 M DL-Malic Acid pH 7.1; 20% PEG 3350,2.17,43.2,0.15 M DL-Malic Acid pH 7,20% PEG 3350,,,,,,,,,,,,,,,,,,
7XJC,LIPIDIC CUBIC PHASE,293,5.6,"MO, 2.0-2.5 M Na/K phosphate pH 5.6",2.35,47.74,2.5 M Na/K phosphate pH 5,,,,,,,,,,,,,,,,,,,
7XJE,LIPIDIC CUBIC PHASE,293,,"MO, 2.0-2.5 M PHOSPHATE",2.33,47.23,2.5 M PHOSPHATE,,,,,,,,,,,,,,,,,,,
7YU0,"VAPOR DIFFUSION, SITTING DROP",283,7.5,"1.4 M ammonium sulfate, 0.2 M sodium chloride, 0.1 M HEPES pH 7.5",2.22,44.57,1.4 M ammonium sulfate,0.2 M sodium chloride,0.1 M HEPES pH 7,,,,,,,,,,,,,,,,,
7YU1,"VAPOR DIFFUSION, SITTING DROP",283,7.5,"1.4 M ammonium sulfate, 0.2 M sodium chloride, 0.1 M HEPES pH 7.5",2.2,44.17,1.4 M ammonium sulfate,0.2 M sodium chloride,0.1 M HEPES pH 7,,,,,,,,,,,,,,,,,
7ZNV,"VAPOR DIFFUSION, SITTING DROP",298,,"0.15 M KSCN, 25% (w/v) PEG 2000 MME",2.75,55.3,0.15 M KSCN,,,,,,,,,,,,,,,,,,,
8AUF,"VAPOR DIFFUSION, SITTING DROP",293.15,7.5,"0.2 M Magnesium chloride hexahydrate, 0.1 M HEPES pH 7.5, 25% w/v Polyethylene glycol 3,350",2.39,48.51,0.2 M Magnesium chloride hexahydrate,0.1 M HEPES pH 7,25% w/v Polyethylene glycol 3,,,,,,,,,,,,,,,,,
8AUG,"VAPOR DIFFUSION, SITTING DROP",293.15,8.5,"100 mM (Tris (base); BICINE) pH 8.5; 30 mM Magnesium chloride hexahydrate; 30 mM Calcium chloride dihydrate; 12,5% v/v MPD; 12,5% PEG 1000; 12,5% w/v PEG 3350",2.32,46.97,30 mM Magnesium chloride hexahydrate,30 mM Calcium chloride dihydrate,5% v/v MPD,5% PEG 1000,5% w/v PEG 3350,,,,,,,,,,,,,,,
8AUH,"VAPOR DIFFUSION, SITTING DROP",293.15,7.5,"100 mM (Sodium HEPES; MOPS (acid)) pH 7.5; 30 mM Magnesium chloride hexahydrate; 30 mM Calcium chloride dihydrate; 12,5% v/v MPD; 12,5% PEG 1000; 12,5% w/v PEG 3350",2.06,40.33,30 mM Magnesium chloride hexahydrate,30 mM Calcium chloride dihydrate,5% v/v MPD,5% PEG 1000,5% w/v PEG 3350,,,,,,,,,,,,,,,
8AUM,"VAPOR DIFFUSION, SITTING DROP",293.15,7.5,100 mM (Sodium HEPES; MOPS (acid)) pH 7.5; 30 mM Sodium nitrate; 30 mM Sodium phosphate dibasic; 30 mM Ammonium sulphate; 20% v/v Glycerol; 10% w/v PEG 4000,2.26,45.65,30 mM Sodium nitrate,30 mM Sodium phosphate dibasic,30 mM Ammonium sulphate,20% v/v Glycerol,10% w/v PEG 4000,,,,,,,,,,,,,,,
8AUN,"VAPOR DIFFUSION, SITTING DROP",293.15,6.5,100 mM (Imidazole; MES monohydrate (acid)) pH 6.5; 20 mM Sodium formate; 20 mM Ammonium acetate; 20 mM Sodium citrate tribasic dihydrate; 20 mM Potassium sodium tartrate tetrahydrate; 20 mM Sodium oxamate; 20% v/v Ethylene glycol; 10 % w/v PEG 8000,2.4,48.67,20 mM Sodium formate,20 mM Ammonium acetate,20 mM Sodium citrate tribasic dihydrate,20 mM Potassium sodium tartrate tetrahydrate,20 mM Sodium oxamate,20% v/v Ethylene glycol,10 % w/v PEG 8000,,,,,,,,,,,,,
8AUQ,"VAPOR DIFFUSION, SITTING DROP",293.15,8.5,100 mM (Tris (base); BICINE) pH 8.5; 20 mM Sodium formate; 20 mM Ammonium acetate; 20 mM Sodium citrate tribasic dihydrate; 20 mM Potassium sodium tartrate tetrahydrate; 20 mM Sodium oxamate; 20% v/v Ethylene glycol; 10 % w/v PEG 8000,2.27,45.86,20 mM Sodium formate,20 mM Ammonium acetate,20 mM Sodium citrate tribasic dihydrate,20 mM Potassium sodium tartrate tetrahydrate,20 mM Sodium oxamate,20% v/v Ethylene glycol,10 % w/v PEG 8000,,,,,,,,,,,,,
8AWI,"VAPOR DIFFUSION, HANGING DROP",298,5.5,protein at 5.2mg/ml in 10mM sodium phosphate pH7.6 and 100mM potassium chloride was mixed 1:1 with 1.3-1.6M sodium citrate and 3.5% glycerol,2.34,47.39,10mM sodium phosphate pH7,100mM potassium chloride was mixed 1,1.6M sodium citrate and 3,.5% glycerol,,,,,,,,,,,,,,,,
8AXS,VAPOR DIFFUSION,293,5.5,"18% PEG 3350,0.1 M BIS TRIS, 0.2 M MgCl2",2.48,50.35,18% PEG 3350,0.1 M BIS TRIS,0.2 M MgCl2,,,,,,,,,,,,,,,,,
8AYV,"VAPOR DIFFUSION, SITTING DROP",293,,"25% PEG 1500,
0.1 M SPG buffer at pH 8.0",1.88,34.73,25% PEG 1500,0.1 M SPG buffer at pH 8,,,,,,,,,,,,,,,,,,
8BZ3,"VAPOR DIFFUSION, HANGING DROP",295,8.5,"0.1 M TRIS-HCl at pH 8.5, 28% PEG 6000",2.07,40.47,0.1 M TRIS-HCl at pH 8,28% PEG 6000,,,,,,,,,,,,,,,,,,
8DEZ,"VAPOR DIFFUSION, HANGING DROP",292.15,,"0.1 M Li2SO4, 0.1 M Sodium Citrate and 15%  Ethanol",2.22,44.68,0.1 M Li2SO4,0.1 M Sodium Citrate and 15,,,,,,,,,,,,,,,,,,
8FAL,"VAPOR DIFFUSION, HANGING DROP",293,,2.6-3.0 M Ammonium sulfate in 50 mM Tris-Sulfate (pH 8),2.08,40.84,3.0 M Ammonium sulfate in 50 mM Tris-Sulfate,,,,,,,,,,,,,,,,,,,
8FAU,"VAPOR DIFFUSION, HANGING DROP",293,,2.6-3.0 M Ammonium sulfate in 50 mM Tris-Sulfate (pH 8),2.07,40.56,3.0 M Ammonium sulfate in 50 mM Tris-Sulfate,,,,,,,,,,,,,,,,,,,
8FG5,"VAPOR DIFFUSION, HANGING DROP",293.15,5,"11 mg/mL AMCase catalytic domain
20% w/v PEG 6000
0.1 M Sodium Acetate pH 5.0
0.2 M Magnesium Chloride",1.92,35.86,11 mg/mL AMCase catalytic domain,20% w/v PEG 6000,0.1 M Sodium Acetate pH 5,0.2 M Magnesium Chloride,,,,,,,,,,,,,,,,
8FLL,"VAPOR DIFFUSION, SITTING DROP",293,5.5,"31% PEG3350, 0.3 M ammonium sulfate, 0.1 M Bis-Tris pH 5.5",1.98,37.99,31% PEG3350,0.3 M ammonium sulfate,0.1 M Bis-Tris pH 5,,,,,,,,,,,,,,,,,
8FLN,"VAPOR DIFFUSION, SITTING DROP",293,5.5,"32% PEG3350, 0.3 M ammonium sulfate, 0.1 M Tis-Tris pH 5.5",1.99,38.18,32% PEG3350,0.3 M ammonium sulfate,0.1 M Tis-Tris pH 5,,,,,,,,,,,,,,,,,
7Q58,"VAPOR DIFFUSION, HANGING DROP",293.15,,"0.09 M HEPES sodium salt pH 7.5, 1.26 M tri-Sodium citrate, 10% (v/v) Glycerol",2.08,40.87,0.09 M HEPES sodium salt pH 7,1.26 M tri-Sodium citrate,,,,,,,,,,,,,,,,,,
7R4B,"VAPOR DIFFUSION, HANGING DROP",298,6.5,"0.1M MES pH 6.5
25% PEG 1500",,,0.1M MES pH 6,25% PEG 1500,,,,,,,,,,,,,,,,,,
7WXS,"VAPOR DIFFUSION, HANGING DROP",277,4.5,"50mM sodium acetate, 1.5M NaCl, pH 4.5",2.02,39.2,50mM sodium acetate,1.5M NaCl,,,,,,,,,,,,,,,,,,
7WZF,"VAPOR DIFFUSION, HANGING DROP",291,,"Under the condition of 2000 mM ammonium sulfate, 100 mM CAPS/ sodium hydroxide pH 10.5, 200 mM lithium sulfate an initial crystallization condition was identified over 3 weeks and was subsequently optimized to yield well-diffracting crystals. Final optimized conditions for YunM with SAM contained 1800 mM ammonium sulfate, 100 mM CAPS/sodium hydroxide pH 10.4, 100 mM lithium sulfate, and yielded square crystals",3.31,62.83,2000 mM ammonium sulfate,100 mM CAPS/ sodium hydroxide pH 10,200 mM lithium sulfate an initial crystallization condition was identified over 3 weeks and was subsequently optimized to yield well-diffracting crystals,1800 mM ammonium sulfate,100 mM CAPS/sodium hydroxide pH 10,100 mM lithium sulfate,,,,,,,,,,,,,,
7YGK,MICROBATCH,295.15,5.5,"100 mM citrate pH 5.5, 40% (v/v) PEG 600",1.94,36.72,100 mM citrate pH 5,,,,,,,,,,,,,,,,,,,
7YWT,"VAPOR DIFFUSION, HANGING DROP",296,8,"1.5 M sodium citrate, 0.1 M Tris pH 8.0",2.1,41.3,1.5 M sodium citrate,0.1 M Tris pH 8,,,,,,,,,,,,,,,,,,
7Z97,"VAPOR DIFFUSION, HANGING DROP",293,5,"100 mM Na-acetate pH 5, 1400 mM Na-malonate, 1 mM DTT, 3 mM FAD, 1 mM 6-bromoindole, cryo: 15 % (v/v) ethylene glycol",3.13,60.66,100 mM Na-acetate pH 5,1400 mM Na-malonate,1 mM DTT,3 mM FAD,1 mM 6-bromoindole,,,,,,,,,,,,,,,
8A71,"VAPOR DIFFUSION, HANGING DROP",292,6,"1.5 MM DNA WATER SOLUTION MIXED 1:1 V/   
V WITH 10% MPD, 14 MM CADAVERINE DI-HCL, 12 MM NACL, 80 MM KCL, 40 MM SODIUM CACODYLATE
AND EQUILIBRATED AGAINST 80% MPD",1.7,27.57,10% MPD,80% MPD,,,,,,,,,,,,,,,,,,
8AZB,"VAPOR DIFFUSION, SITTING DROP",291,,"Ligand free DppE was crystallised in a sitting drop formed by mixing 150 nl of the unliganded protein at 9 mg.ml-1 with 150 nl of 0.1 M MIB buffer pH 4.0, 25 % (w/v) PEG 1500.",2.23,44.78,0.1 M MIB buffer pH 4,,,,,,,,,,,,,,,,,,,
8B8F,"VAPOR DIFFUSION, SITTING DROP",291,,"20% (w/v) PEG 6000, 0.1 M sodium acetate, pH 5.0, and 0.2 M ammonium chloride",2.14,42.44,0.1 M sodium acetate,0.2 M ammonium chloride,,,,,,,,,,,,,,,,,,
8B97,"VAPOR DIFFUSION, HANGING DROP",291,,"20% (w/v) PEG 6000, 0.1 M sodium acetate, pH 5.0, and 0.2 M ammonium chloride",2.11,41.83,0.1 M sodium acetate,0.2 M ammonium chloride,,,,,,,,,,,,,,,,,,
8BFR,"VAPOR DIFFUSION, SITTING DROP",293.15,,"0.1 M MES pH 6.2, 15 % w/v PEG 3350",2.69,54.33,0.1 M MES pH 6,15 % w/v PEG 3350,,,,,,,,,,,,,,,,,,
8BFT,"VAPOR DIFFUSION, SITTING DROP",293.15,,"0.1 M Citrate pH 5, 20% w/v PEG6000",2.5,50.86,0.1 M Citrate pH 5,20% w/v PEG6000,,,,,,,,,,,,,,,,,,
8BOV,"VAPOR DIFFUSION, HANGING DROP",293,7.5,"2.0 M sodium formate
0.1 M Hepes buffer pH 7.5",2,38.36,2.0 M sodium formate,0.1 M Hepes buffer pH 7,,,,,,,,,,,,,,,,,,
8BOY,"VAPOR DIFFUSION, HANGING DROP",293,4,"20% ethylene glycol
0.1 M sodium acetate pH 4.0
0.6 M sodium Nitrate",1.97,37.52,20% ethylene glycol,0.1 M sodium acetate pH 4,0.6 M sodium Nitrate,,,,,,,,,,,,,,,,,
8C8F,"VAPOR DIFFUSION, SITTING DROP",293.15,,"0.1 M Tris pH 7.4, 30 % PEG Smear
Broad, 0.1 M NaBr and 0.1 M KSCN",1.95,36.99,0.1 M Tris pH 7,30 % PEG Smear,0.1 M NaBr and 0,.1 M KSCN,,,,,,,,,,,,,,,,
8E80,"VAPOR DIFFUSION, SITTING DROP",293,,"11% PEG 8000, 15-20% ethylene glycol, 0.1 M MES (pH 6.5), 5% 6-aminohexanoic acid",2.36,47.96,11% PEG 8000,20% ethylene glycol,0.1 M MES,5% 6-aminohexanoic acid,,,,,,,,,,,,,,,,
8EBL,"VAPOR DIFFUSION, HANGING DROP",295,,"10-15% PEG3350, 0.2M NaSCN, 0.1 M Bis-Tris Propane, pH = 7.5",2.3,46.51,15% PEG3350,0.2M NaSCN,0.1 M Bis-Tris Propane,,,,,,,,,,,,,,,,,
8EYL,"VAPOR DIFFUSION, HANGING DROP",293,,2.6-3.0 M Ammonium sulfate in 50 mM Tris-Sulfate (pH 8),2.03,39.37,3.0 M Ammonium sulfate in 50 mM Tris-Sulfate,,,,,,,,,,,,,,,,,,,
8F94,"VAPOR DIFFUSION, HANGING DROP",288,8.6,"1 mM DNA duplex annealed in 7.5 mM HEPES, pH=6.6 mixed at a 1:1 ratio with well solution containing 10 mM HEPES, pH=8.6, 600 mM CaCl2, 38% PEG200",2.36,47.85,1 mM DNA duplex annealed in 7,.5 mM HEPES,10 mM HEPES,600 mM CaCl2,38% PEG200,,,,,,,,,,,,,,,
8FB4,"VAPOR DIFFUSION, HANGING DROP",288,8.6,"1 mM DNA duplex with 3 mM DB1976 annealed in 7.5 mM HEPES, pH=6.6 mixed at a 1:1 ratio with well solution containing 10 mM HEPES, pH=8.6, 600 mM CaCl2, 38% PEG200",2.36,47.95,1 mM DNA duplex with 3 mM DB1976 annealed in 7,.5 mM HEPES,10 mM HEPES,600 mM CaCl2,38% PEG200,,,,,,,,,,,,,,,
